campLocation,timestamp,source,destination,user,device,eventType,eventDescription,eventSeverity,mlRiskScore
Bangalore,2023-09-13T01:24,10.1.1.1,172.16.0.20,guest,ServerABC,malware-detection,Malware detected: File 'file910.txt' found on device 'ServerABC',warning,0.37
Bangalore,2023-09-17T23:36,10.1.1.1,172.16.0.20,anonymous,Workstation123,network-disconnected,Device 'Workstation123' disconnected from the network at IP 10.1.1.1,error,0.13
Bangalore,2023-09-18T09:47,84.124.148.119,48.239.159.33,admin,Workstation123,api-called,API called: API2 from IP 84.124.148.119,error,0.73
Bangalore,2023-09-15T23:45,192.168.10.5,10.1.1.2,anonymous,ServerABC,auth-success,Successful login for user 'anonymous' from IP 192.168.10.5,informational,0.1
Bangalore,2023-09-16T07:17,192.168.0.1,172.16.1.101,admin,ServerABC,dns-queries,DNS query from IP 192.168.0.1 for domain 'example341.com',warning,0.17
Bangalore,2023-09-15T08:15,192.168.2.5,172.16.0.20,anonymous,ServerABC,application-usage,User 'anonymous' used application 'App8',error,0.13
Bangalore,2023-09-12T21:48,206.57.151.210,69.168.191.71,user123,DeviceXYZ,application-usage,User 'user123' used application 'App4',error,0.67
Bangalore,2023-09-16T13:15,192.168.10.5,192.168.0.2,admin,DeviceXYZ,software-update,Software update: Software9 updated to version v4,informational,0.27
Bangalore,2023-09-14T17:01,172.16.1.100,10.0.0.101,admin,Workstation123,software-update,Software update: Software7 updated to version v4,error,0.27
Bangalore,2023-09-17T02:35,10.1.1.1,172.16.0.20,admin,ServerABC,api-called,API called: API4 from IP 10.1.1.1,warning,0.2
Bangalore,2023-09-15T20:57,10.0.0.2,192.168.0.3,user123,DeviceXYZ,system-failure,Critical system failure: Error message: 67,error,0.37
Bangalore,2023-09-14T20:50,172.16.0.10,192.168.0.3,anonymous,DeviceXYZ,file-access,File access: Delete to file '/path/to/file11.txt' by user 'anonymous' from IP 172.16.0.10,error,0.23
Bangalore,2023-09-13T11:25,172.16.0.10,192.168.10.6,admin,Workstation123,malware-detection,Malware detected: File 'file30.txt' found on device 'Workstation123',critical,0.37
